id_commande,date_commande,produit,categorie,sous_categorie,region,province,quantite,chiffre_affaires,marge,remise,prix_unitaire,segment_client,mode_livraison,taux_marge,mois,annee,vente_a_perte
2631,2010-09-23,Fuji 5.2GB DVD-RAM,Technology,Computer Peripherals,Nunavut,Nunavut,27,1078.49,252.66,0.08,40.96,Corporate,Regular Air,0.23427199139537686,2010-09-01,2010,False
2757,2011-07-19,Bevis Steel Folding Chairs,Furniture,Chairs & Chairmats,Nunavut,Nunavut,39,3554.46,-1766.01,0.07,95.95,Corporate,Delivery Truck,-0.4968434023733563,2011-07-01,2011,True
2791,2009-10-09,Avery Binder Labels,Office Supplies,Binders and Binder Accessories,Nunavut,Nunavut,47,191.67,-236.27,0.0,3.89,Corporate,Regular Air,-1.2326916053633852,2009-10-01,2009,True
2791,2009-10-09,Hon Every-Day¨ Chair Series Swivel Task Chairs,Furniture,Chairs & Chairmats,Nunavut,Nunavut,49,5586.33,80.44,0.09,120.98,Corporate,Delivery Truck,0.014399435765520475,2009-10-01,2009,False
2791,2009-10-09,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Office Supplies,Paper,Nunavut,Nunavut,18,507.64,118.94,0.1,30.98,Corporate,Regular Air,0.2342998975652037,2009-10-01,2009,False
2976,2010-12-09,Global Troyª Executive Leather Low-Back Tilter,Furniture,Chairs & Chairmats,Nunavut,Nunavut,30,14223.82,3424.22,0.09,500.98,Consumer,Delivery Truck,0.24073842329275819,2010-12-01,2010,False
3232,2012-10-08,XtraLife¨ ClearVueª Slant-D¨ Ring Binders by Cardinal,Office Supplies,Binders and Binder Accessories,Nunavut,Nunavut,5,42.66,-11.83,0.06,7.84,Small Business,Regular Air,-0.27730895452414445,2012-10-01,2012,True
3524,2012-05-02,Computer Printout Paper with Letter-Trim Perforations,Office Supplies,Paper,Nunavut,Nunavut,21,427.32,52.35,0.0,18.97,Small Business,Regular Air,0.12250772254984556,2012-05-01,2012,False
3908,2010-03-08,6160,Technology,Telephones and Communication,Nunavut,Nunavut,8,820.284,-180.2,0.0,115.99,Corporate,Regular Air,-0.2196800132636989,2010-03-01,2010,True
4132,2011-05-28,Avery 49,Office Supplies,Labels,Nunavut,Nunavut,5,14.76,1.32,0.01,2.88,Corporate,Regular Air,0.08943089430894309,2011-05-01,2011,False
4612,2010-09-19,Hoover Portapowerª Portable Vacuum,Office Supplies,Appliances,Nunavut,Nunavut,9,89.55,-375.64,0.06,4.48,Corporate,Regular Air,-4.194751535455053,2010-09-01,2010,True
4676,2011-08-31,Timeport L7089,Technology,Telephones and Communication,Nunavut,Nunavut,11,1210.0515,-104.25,0.04,125.99,Home Office,Regular Air,-0.08615335793559199,2011-08-01,2011,True
4676,2011-08-31,Avery 510,Office Supplies,Labels,Nunavut,Nunavut,50,187.83,85.96,0.03,3.75,Home Office,Regular Air,0.4576478730767182,2011-08-01,2011,False
4676,2011-08-31,Xerox 1881,Office Supplies,Paper,Nunavut,Nunavut,3,49.59,-8.38,0.07,12.28,Home Office,Express Air,-0.16898568259729785,2011-08-01,2011,True
4676,2011-08-31,LX 788,Technology,Telephones and Communication,Nunavut,Nunavut,30,4253.009,1115.69,0.01,155.99,Home Office,Regular Air,0.26232956478577873,2011-08-01,2011,False
5284,2011-07-08,"Cardinal Slant-D¨ Ring Binder, Heavy Gauge Vinyl",Office Supplies,Binders and Binder Accessories,Nunavut,Nunavut,7,59.38,-3.05,0.1,8.69,Home Office,Regular Air,-0.05136409565510272,2011-07-01,2011,True
5316,2009-01-30,"Memorex 4.7GB DVD-RAM, 3/Pack",Technology,Computer Peripherals,Nunavut,Nunavut,42,1285.37,514.07,0.1,31.78,Corporate,Regular Air,0.39993931708379693,2009-01-01,2009,False
5409,2012-01-08,Unpadded Memo Slips,Office Supplies,Paper,Nunavut,Nunavut,11,48.91,-7.04,0.01,3.98,Corporate,Regular Air,-0.143937845021468,2012-01-01,2012,True
5506,2010-11-07,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Office Supplies,Paper,Nunavut,Nunavut,22,129.62,4.41,0.05,5.88,Corporate,Regular Air,0.0340225273877488,2010-11-01,2010,False
5569,2010-04-29,"Eldon Expressionsª Desk Accessory, Wood Pencil Holder, Oak",Furniture,Office Furnishings,Nunavut,Nunavut,12,118.97,-0.06,0.09,9.65,Corporate,Regular Air,-0.0005043288223921997,2010-04-01,2010,True
5607,2011-12-31,Bell Sonecor JB700 Caller ID,Technology,Telephones and Communication,Nunavut,Nunavut,8,61.8715,-50.33,0.0,7.99,Home Office,Regular Air,-0.8134601553219172,2011-12-01,2011,True
5894,2009-08-12,Avery Arch Ring Binders,Office Supplies,Binders and Binder Accessories,Nunavut,Nunavut,7,384.33,87.68,0.1,58.1,Corporate,Regular Air,0.22813727786017227,2009-08-01,2009,False
5894,2009-08-12,APC 7 Outlet Network SurgeArrest Surge Protector,Office Supplies,Appliances,Nunavut,Nunavut,3,239.03,-68.22,0.01,80.48,Corporate,Regular Air,-0.28540350583608753,2009-08-01,2009,True
5925,2011-11-12,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Furniture,Office Furnishings,Nunavut,Nunavut,44,3922.42,-354.9,0.08,92.23,Home Office,Regular Air,-0.0904798568230837,2011-11-01,2011,True
5925,2011-11-12,Accessory4,Technology,Telephones and Communication,Nunavut,Nunavut,25,1733.3625,-267.01,0.07,85.99,Home Office,Regular Air,-0.15404163872242535,2011-11-01,2011,True
6016,2012-01-20,Personal Creationsª Ink Jet Cards and Labels,Office Supplies,Paper,Nunavut,Nunavut,19,208.28,3.63,0.07,11.48,Home Office,Regular Air,0.017428461686191665,2012-01-01,2012,False
6116,2009-03-20,High Speed Automatic Electric Letter Opener,Office Supplies,"Scissors, Rulers and Trimmers",Nunavut,Nunavut,6,9620.82,-1759.58,0.04,1637.53,Corporate,Regular Air,-0.182892934282109,2009-03-01,2009,True
6182,2012-07-21,Xerox 1966,Office Supplies,Paper,Nunavut,Nunavut,40,255.48,-116.79,0.04,6.48,Corporate,Regular Air,-0.45713950211366844,2012-07-01,2012,True
6182,2012-07-21,Xerox 213,Office Supplies,Paper,Nunavut,Nunavut,18,130.32,-67.28,0.04,6.48,Corporate,Express Air,-0.516267648864334,2012-07-01,2012,True
6535,2012-06-12,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Office Supplies,Pens & Art Supplies,Nunavut,Nunavut,11,312.36,-19.33,0.07,28.15,Corporate,Express Air,-0.061883723908310914,2012-06-01,2012,True
6884,2009-01-15,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Office Supplies,Paper,Nunavut,Nunavut,41,217.0,-61.21,0.01,4.98,Home Office,Regular Air,-0.282073732718894,2009-01-01,2009,True
6884,2009-01-15,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,Paper,Nunavut,Nunavut,47,296.13,119.09,0.04,6.35,Home Office,Regular Air,0.4021544591902205,2009-01-01,2009,False
6916,2010-06-04,Crate-A-Filesª,Office Supplies,Storage & Organization,Nunavut,Nunavut,40,436.17,-141.27,0.08,10.9,Consumer,Express Air,-0.323887475067061,2010-06-01,2010,True
6980,2010-02-18,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Binders and Binder Accessories,Nunavut,Nunavut,18,136.29,-77.28,0.05,7.3,Consumer,Regular Air,-0.5670261941448382,2010-02-01,2010,True
6982,2011-11-16,"80 Minute CD-R Spindle, 100/Pack - Staples",Technology,Computer Peripherals,Nunavut,Nunavut,32,1311.25,407.44,0.0,39.48,Corporate,Express Air,0.3107264061010486,2011-11-01,2011,False
6982,2011-11-16,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Furniture,Bookcases,Nunavut,Nunavut,5,544.41,-338.27,0.09,100.98,Corporate,Delivery Truck,-0.6213515548942893,2011-11-01,2011,True
6982,2011-11-16,12-1/2 Diameter Round Wall Clock,Furniture,Office Furnishings,Nunavut,Nunavut,41,844.09,52.56,0.04,19.98,Corporate,Regular Air,0.0622682415382246,2011-11-01,2011,False
7110,2011-08-07,SAFCO Arco Folding Chair,Furniture,Chairs & Chairmats,Nunavut,Nunavut,22,6396.2,1902.24,0.02,276.2,Corporate,Regular Air,0.297401582189425,2011-08-01,2011,False
7430,2010-06-08,"#10 White Business Envelopes,4 1/8 x 9 1/2",Office Supplies,Envelopes,Nunavut,Nunavut,50,751.77,353.2,0.05,15.67,Corporate,Regular Air,0.4698245474014659,2010-06-01,2010,False
7906,2009-10-17,3M Office Air Cleaner,Office Supplies,Appliances,Nunavut,Nunavut,37,1003.06,271.78,0.03,25.98,Consumer,Regular Air,0.2709508902757562,2009-10-01,2009,False
8391,2011-08-28,"Global Leather and Oak Executive Chair, Black",Furniture,Chairs & Chairmats,Nunavut,Nunavut,4,1266.72,-268.36,0.04,300.98,Corporate,Delivery Truck,-0.21185423771630668,2011-08-01,2011,True
8419,2011-09-29,Xerox 1936,Office Supplies,Paper,Nunavut,Nunavut,19,368.04,70.39,0.07,19.98,Small Business,Express Air,0.1912563851755244,2011-09-01,2011,False
8419,2011-09-29,Xerox 214,Office Supplies,Paper,Nunavut,Nunavut,24,152.6,-86.62,0.1,6.48,Small Business,Regular Air,-0.5676277850589778,2011-09-01,2011,True
8833,2012-05-04,Carina Double Wide Media Storage Towers in Natural & Black,Office Supplies,Storage & Organization,Nunavut,Nunavut,40,3338.98,-846.73,0.0,80.98,Small Business,Regular Air,-0.2535894195233275,2012-05-01,2012,True
8995,2011-05-17,Staples¨ General Use 3-Ring Binders,Office Supplies,Binders and Binder Accessories,Nunavut,Nunavut,5,24.16,8.05,0.08,1.88,Consumer,Express Air,0.3331953642384106,2011-05-01,2011,False
8995,2011-05-17,Xerox 1904,Office Supplies,Paper,Northwest Territories,Northwest Territories,41,270.84,-78.02,0.1,6.48,Consumer,Express Air,-0.28806675527987,2011-05-01,2011,True
8995,2011-05-17,Luxo Professional Combination Clamp-On Lamps,Furniture,Office Furnishings,Northwest Territories,Northwest Territories,35,3389.93,737.94,0.08,102.3,Consumer,Express Air,0.21768591091851458,2011-05-01,2011,False
8995,2011-05-17,Xerox 217,Office Supplies,Paper,Northwest Territories,Northwest Territories,42,266.36,-191.28,0.07,6.48,Consumer,Regular Air,-0.7181258447214296,2011-05-01,2011,True
8995,2011-05-17,Revere Boxed Rubber Bands by Revere,Office Supplies,Rubber Bands,Northwest Territories,Northwest Territories,46,89.41,-21.49,0.01,1.89,Consumer,Regular Air,-0.24035342802818477,2011-05-01,2011,True
9126,2009-11-17,"Acco Smartsocketª Table Surge Protector, 6 Color-Coded Adapter Outlets",Office Supplies,Appliances,Northwest Territories,Northwest Territories,47,2799.7,884.08,0.04,62.05,Corporate,Regular Air,0.3157766903596814,2009-11-01,2009,False
9127,2011-10-10,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Office Supplies,Storage & Organization,Northwest Territories,Northwest Territories,7,2039.56,-329.49,0.04,279.48,Corporate,Express Air,-0.16154954990292025,2011-10-01,2011,True
9509,2012-10-07,Hon 4070 Series Pagodaª Round Back Stacking Chairs,Furniture,Chairs & Chairmats,Northwest Territories,Northwest Territories,36,12175.82,2825.15,0.02,320.98,Home Office,Delivery Truck,0.23202954708594575,2012-10-01,2012,False
9509,2012-10-07,Xerox 1887,Office Supplies,Paper,Northwest Territories,Northwest Territories,5,101.21,2.13,0.1,18.97,Home Office,Express Air,0.021045351249876495,2012-10-01,2012,False
9509,2012-10-07,Xerox 1891,Office Supplies,Paper,Northwest Territories,Northwest Territories,32,1585.64,707.15,0.02,48.91,Home Office,Regular Air,0.44597134280164474,2012-10-01,2012,False
9763,2011-08-13,Avery 506,Office Supplies,Labels,Northwest Territories,Northwest Territories,44,176.26,75.13,0.07,4.13,Corporate,Regular Air,0.4262453194145013,2011-08-01,2011,False
9927,2011-08-16,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,Bookcases,Northwest Territories,Northwest Territories,32,4655.07,-270.63,0.0,140.98,Corporate,Delivery Truck,-0.05813661233880479,2011-08-01,2011,True
9927,2011-08-16,"Lifetime Advantageª Folding Chairs, 4/Carton",Furniture,Chairs & Chairmats,Northwest Territories,Northwest Territories,44,10087.6,3387.35,0.01,218.08,Corporate,Regular Air,0.3357934493834014,2011-08-01,2011,False
9927,2011-08-16,Microsoft Natural Multimedia Keyboard,Technology,Computer Peripherals,Northwest Territories,Northwest Territories,34,1608.08,-82.16,0.09,50.98,Corporate,Express Air,-0.05109198547335953,2011-08-01,2011,True
10022,2009-03-04,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Office Supplies,Paper,Northwest Territories,Northwest Territories,1,12.18,-3.88,0.06,10.14,Small Business,Regular Air,-0.3185550082101806,2009-03-01,2009,True
10437,2009-08-18,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Office Supplies,Binders and Binder Accessories,Northwest Territories,Northwest Territories,50,820.52,-191.22,0.01,15.99,Corporate,Regular Air,-0.23304733583581144,2009-08-01,2009,True
10499,2010-11-16,Bevis Boat-Shaped Conference Table,Furniture,Tables,Northwest Territories,Northwest Territories,29,6250.936,31.21,0.01,262.11,Corporate,Delivery Truck,0.004992852270443979,2010-11-01,2010,False
10535,2011-05-27,"Linden¨ 12"" Wall Clock With Oak Frame",Furniture,Office Furnishings,Northwest Territories,Northwest Territories,25,854.88,-44.14,0.09,33.98,Corporate,Regular Air,-0.05163297772786824,2011-05-01,2011,True
10535,2011-05-27,Newell 326,Office Supplies,Pens & Art Supplies,Northwest Territories,Northwest Territories,46,80.27,-0.79,0.09,1.76,Corporate,Regular Air,-0.009841783979070637,2011-05-01,2011,True
10789,2010-08-23,Prismacolor Color Pencil Set,Office Supplies,Pens & Art Supplies,Northwest Territories,Northwest Territories,15,308.54,76.42,0.0,19.84,Corporate,Express Air,0.24768263434238671,2010-08-01,2010,False
10791,2011-08-19,Xerox Blank Computer Paper,Office Supplies,Paper,Northwest Territories,Northwest Territories,20,400.57,93.36,0.05,19.98,Small Business,Regular Air,0.23306787827346032,2011-08-01,2011,False
10945,2012-01-03,600 Series Flip,Technology,Telephones and Communication,Northwest Territories,Northwest Territories,14,1170.025,4.22,0.04,95.99,Consumer,Regular Air,0.003606760539304715,2012-01-01,2012,False
11137,2012-11-29,Fellowes Recycled Storage Drawers,Office Supplies,Storage & Organization,Northwest Territories,Northwest Territories,48,5188.86,395.12,0.1,111.03,Small Business,Regular Air,0.07614774728938534,2012-11-01,2012,False
11202,2012-03-17,Satellite Sectional Post Binders,Office Supplies,Binders and Binder Accessories,Northwest Territories,Northwest Territories,8,339.81,79.59,0.05,43.41,Corporate,Regular Air,0.23421912245078133,2012-03-01,2012,False
11456,2010-04-12,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Furniture,Office Furnishings,Northwest Territories,Northwest Territories,15,1519.9,399.37,0.09,105.34,Corporate,Regular Air,0.2627607079413119,2010-04-01,2010,False
11460,2010-08-24,Avery 487,Office Supplies,Labels,Northwest Territories,Northwest Territories,30,102.24,37.79,0.09,3.69,Home Office,Regular Air,0.3696205007824726,2010-08-01,2010,False
11495,2011-07-04,Bevis Round Conference Table Top & Single Column Base,Furniture,Tables,Northwest Territories,Northwest Territories,6,965.69,-144.2,0.0,146.34,Corporate,Delivery Truck,-0.14932328179850674,2011-07-01,2011,True
11911,2010-11-10,"GBC Twin Loopª Wire Binding Elements, 9/16"" Spine, Black",Office Supplies,Binders and Binder Accessories,Northwest Territories,Northwest Territories,25,397.84,-14.75,0.0,15.22,Consumer,Regular Air,-0.03707520611301026,2010-11-01,2010,True
11941,2010-06-24,Hanging Personal Folder File,Office Supplies,Storage & Organization,Northwest Territories,Northwest Territories,4,73.07,-41.01,0.08,15.7,Corporate,Regular Air,-0.5612426440399617,2010-06-01,2010,True
11941,2010-06-24,"Bevis Round Conference Table Top, X-Base",Furniture,Tables,Northwest Territories,Northwest Territories,26,4679.1,111.52,0.05,179.29,Corporate,Delivery Truck,0.02383364322198713,2010-06-01,2010,False
12096,2012-09-19,5125,Technology,Telephones and Communication,Northwest Territories,Northwest Territories,46,8009.5925,2332.4,0.02,200.99,Home Office,Regular Air,0.2912008320023772,2012-09-01,2012,False
12096,2012-09-19,Electrix Halogen Magnifier Lamp,Furniture,Office Furnishings,Northwest Territories,Northwest Territories,23,4689.66,2176.19,0.01,194.3,Home Office,Regular Air,0.464040037017609,2012-09-01,2012,False
12289,2011-12-24,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Technology,Office Machines,Northwest Territories,Northwest Territories,25,3019.41,1269.05,0.04,120.97,Corporate,Regular Air,0.420297342858373,2011-12-01,2011,False
12352,2012-03-23,Fellowes Black Plastic Comb Bindings,Office Supplies,Binders and Binder Accessories,Northwest Territories,Northwest Territories,5,36.86,-32.82,0.07,5.81,Corporate,Regular Air,-0.8903960933260988,2012-03-01,2012,True
12419,2011-10-15,Polycom ViewStationª Adapter H323 Videoconferencing Unit,Technology,Office Machines,Northwest Territories,Northwest Territories,12,22079.47,5322.14,0.06,1938.02,Corporate,Regular Air,0.24104473522235814,2011-10-01,2011,False
12485,2010-08-07,Hon GuestStacker Chair,Furniture,Chairs & Chairmats,Northwest Territories,Northwest Territories,24,5407.31,1068.48,0.04,226.67,Home Office,Delivery Truck,0.19759917593036092,2010-08-01,2010,False
12544,2009-03-03,Eldon¨ Wave Desk Accessories,Furniture,Office Furnishings,Northwest Territories,Northwest Territories,34,74.3,-129.01,0.08,2.08,Corporate,Regular Air,-1.7363391655450875,2009-03-01,2009,True
12704,2010-02-09,Sharp AL-1530CS Digital Copier,Technology,Copiers and Fax,Northwest Territories,Northwest Territories,44,21506.77,1260.51,0.06,499.99,Small Business,Regular Air,0.05860991678434279,2010-02-01,2010,False
12704,2010-02-09,"Tennsco Lockers, Gray",Office Supplies,Storage & Organization,Northwest Territories,Northwest Territories,28,669.02,-1274.02,0.02,20.98,Small Business,Delivery Truck,-1.9043077934889838,2010-02-01,2010,True
12771,2009-01-17,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Office Supplies,Labels,Northwest Territories,Northwest Territories,40,1143.49,-193.44,0.08,30.53,Small Business,Regular Air,-0.16916632414800303,2009-01-01,2009,True
12771,2009-01-17,Newell 323,Office Supplies,Pens & Art Supplies,Northwest Territories,Northwest Territories,46,78.08,-43.1,0.01,1.68,Small Business,Regular Air,-0.5519979508196722,2009-01-01,2009,True
12929,2010-08-30,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Furniture,Chairs & Chairmats,Northwest Territories,Northwest Territories,19,5297.47,-158.93,0.02,270.98,Corporate,Delivery Truck,-0.030001113739200034,2010-08-01,2010,True
12929,2010-08-30,Spiral Phone Message Books with Labels by Adams,Office Supplies,Paper,Northwest Territories,Northwest Territories,20,95.3,29.68,0.0,4.48,Corporate,Regular Air,0.31143756558237146,2010-08-01,2010,False
13280,2009-09-11,Crate-A-Filesª,Office Supplies,Storage & Organization,Northwest Territories,Northwest Territories,40,460.68,-116.76,0.01,10.9,Small Business,Regular Air,-0.2534514196405314,2009-09-01,2009,True
13280,2009-09-11,Bell Sonecor JB700 Caller ID,Technology,Telephones and Communication,Northwest Territories,Northwest Territories,49,318.7585,-160.95,0.1,7.99,Small Business,Regular Air,-0.5049277117316087,2009-09-01,2009,True
13313,2009-07-16,Holmes 99% HEPA Air Purifier,Office Supplies,Appliances,Northwest Territories,Northwest Territories,47,1020.61,-209.61,0.04,21.66,Home Office,Regular Air,-0.20537717639450917,2009-07-01,2009,True
13346,2012-11-15,Xerox 224,Office Supplies,Paper,Northwest Territories,Northwest Territories,44,268.34,-240.83,0.09,6.48,Corporate,Regular Air,-0.8974808079302379,2012-11-01,2012,True
13702,2011-09-10,Xerox 1906,Office Supplies,Paper,Northwest Territories,Northwest Territories,6,209.0,12.32,0.08,35.44,Small Business,Regular Air,0.05894736842105263,2011-09-01,2011,False
